,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.035,0.999892425976065,7.802792815063099,0.035,0.956829956108838,22.812078715565832,0.025,0.9598993584196077,12.052707771700998
1.0,0.0775,0.9999732670989967,2.241501170253075,0.0625,0.9735785584940938,16.208363035329402,0.02,0.9250116927473674,25.580624799560802
2.0,0.08,0.9999699783810196,28.56437686557797,0.0475,0.7847143180997366,18.187992952159213,0.03,0.9737469616337499,39.32923364492262
3.0,0.035,0.9999557873982593,9.65947410998934,0.02,0.7599835579832684,0.0,0.0225,0.8332842110512317,11.215095795295046
4.0,0.02,0.9995104014570837,25.260083315335567,0.0425,0.8895819346022314,5.893911337177641,0.0075,0.7881758469423252,20.50197350705611
5.0,0.0125,0.9981444508736455,29.760503599863647,0.035,0.9330992028436088,22.088457711942823,0.0075,0.8310656285666705,10.403555860391734
6.0,0.0075,0.9834824764740878,0.5127037908043232,0.085,0.9790041446397861,9.47346440404967,0.0775,0.9795683249879114,13.05768754227457
7.0,0.01,0.9956977793900623,6.1708082252220215,0.08,0.9620570780493448,26.516505938575683,0.055,0.9481687835075263,58.07396941182993
8.0,0.0075,0.996902640222381,2.571909795723512,0.0525,0.812228179396692,7.447649093112273,0.0275,0.8736579698081437,46.96303112876077
9.0,0.0075,0.908848574713866,21.18075044228808,0.045,0.8751555728244204,10.787712890599916,0.025,0.948213244085979,11.80662678492614
10.0,0.08,0.9936734104075813,7.64785291958685,0.06,0.7635688241789791,16.95144371288326,0.0375,0.8775823986601304,15.836346622230641
11.0,0.08,0.9641849275188762,18.28214649194192,0.045,0.5030488925134213,39.26335971550379,0.01,0.45294033867058775,17.135360176306477
12.0,0.04,0.7161525500253264,4.070943307529814,0.035,0.001530612287284987,12.326201422756451,0.0125,0.5132792925033673,34.37491468213389
13.0,0.04,0.6812489762497355,14.72568886833334,0.0225,-0.03436745597497084,10.841944739855798,0.0525,0.966796963814289,24.111772646499567
14.0,0.0075,0.6390706074388871,4.488506140159812,0.0275,0.7085767565918649,14.69303359044366,0.0175,0.6326043284674696,23.58275107058823
15.0,0.07,0.9999937205954336,0.0008765300401752012,0.0525,0.9913135468082934,16.07693892353904,0.0325,0.8913462180405782,15.548726056549121
16.0,0.0725,0.9999933181999101,23.784134189534534,0.04,0.9797565055848471,26.30813357458857,0.0175,0.8401880194454354,14.815227220527426
17.0,0.0175,0.9995936898500961,16.858525539920723,0.1025,0.986314756205432,50.43185803389305,0.07,0.9629023330294856,41.44417304849979
18.0,0.015,0.999743293289822,21.209105249382763,0.0125,0.7258213499870158,22.588590109744032,0.03,0.9406862042395241,36.827713693539
19.0,0.0025,0.9872230582172715,14.513158231434616,0.0125,0.7975981640387639,25.189912746788966,0.0175,0.7141943893703333,29.350530511654625
20.0,0.065,0.999997383001522,0.0,0.0725,0.9723915814968924,21.615910346296978,0.0275,0.8963384858605853,18.5513891804475
21.0,0.0725,0.9999994370066132,14.705420273019472,0.0375,0.9565867325280465,24.473584531873293,0.0175,0.4915206298467748,24.90942900781978
