,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0675,0.7459747590214256,1.8177400185151813,0.04,0.8415201609681031,14.136591818594173,0.0225,0.8767232737971308,38.271128517887014
1.0,0.0675,0.9661520380186108,10.133762902542149,0.035,0.971396033211463,22.02752913916723,0.02,0.9753183367692282,21.607113612952645
2.0,0.035,0.9480868071995131,17.19023272169638,0.0125,0.9657800278658415,5.6137404076243635,0.0125,0.8803063910298649,7.893741816998068
3.0,0.0275,0.9033745958905546,24.906392314239014,0.0125,0.8156845841008388,5.065626870855069,0.0075,0.764692400657199,58.29560170957312
4.0,0.0275,0.847840263145167,8.40233029704125,0.06,0.8826178904773215,26.664366618237963,0.0325,0.14083192994422683,20.953144633044836
5.0,0.015,0.7184918215611649,22.530571742247215,0.0375,0.9480247869384224,23.0028750762383,0.0175,0.044441732693014706,25.476017441682934
6.0,0.0075,0.8355457623579798,26.030826152220264,0.0125,0.8517155740001394,19.828079591778863,0.035,0.9088094211697679,23.09207372880642
7.0,0.0675,0.7415159837920648,1.8774642221293727,0.0475,0.7972946199700393,17.195612535620683,0.0325,0.8963043201093589,9.344547424633813
8.0,0.065,0.9704049390091367,4.324998125361869,0.045,0.8752581324739516,8.99467908410096,0.0175,0.8462530106896479,27.75053097413914
9.0,0.0475,0.9785828912512207,25.463477596076068,0.0375,0.6199346087388232,5.522159994949851,0.0125,0.8860698248078782,25.555368891594277
10.0,0.0575,0.6749253679122977,9.756918293182666,0.0525,0.8589955500175128,37.04980086606579,0.0175,0.3618316195219724,24.521825660736468
11.0,0.065,0.970797022944944,18.584698730981422,0.025,0.8684331455515326,10.470067108061404,0.0175,-0.035697741126961245,12.930452869355074
12.0,0.0425,0.9775406237045111,15.579433645436229,0.025,0.9788593611338738,6.323948845858647,0.025,0.43635637991831955,20.118172698919338
13.0,0.0625,0.7238874916001192,2.2956529922174194,0.06,0.8048977442370773,24.53758145708526,0.0175,0.29976100022288693,10.791972272867898
