,PhaseSpaceLow,ChannelCorrelationLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,CrestFactorHigh
0.0,0.0825,0.6769411638772921,20.653906736946137,0.05,0.8033501472861074,14.349624357421035,0.0225,0.840650558105325,25.315775175388072
1.0,0.0825,0.9629516952703736,19.35427134058308,0.04,0.9680029211403403,13.736116674063204,0.0225,0.9750012340828798,9.168742072375068
2.0,0.0475,0.9500807793619486,4.637715699228957,0.0175,0.9710893610385515,19.35684777829235,0.0175,0.9258059106517249,13.974887814502825
3.0,0.035,0.9198630237208882,29.034592955605273,0.0175,0.8755518557518792,9.745240893619453,0.0125,0.800159150691482,35.661810461810084
4.0,0.0325,0.8467583559484266,5.004930214058669,0.07,0.8587848459336105,5.0071880812508525,0.035,0.1445857249155352,10.83752177129601
5.0,0.02,0.7683294097082906,9.597385917931488,0.0475,0.954608334063952,26.884446013004357,0.0175,0.056500465854628264,27.036323443790295
6.0,0.0075,0.8021232736688092,30.170683207912287,0.015,0.8474387597175271,19.847963945266546,0.0375,0.9953639162948804,11.702550624463175
7.0,0.08,0.6686347738808002,19.51362232286116,0.0575,0.7942309248150561,22.593226965881613,0.0425,0.919571000987545,14.494020070178951
8.0,0.075,0.9681656816073663,10.376575765114103,0.055,0.8952710786843151,5.460516266448017,0.0275,0.8334172071219301,12.128610647487399
9.0,0.0575,0.9805202121152852,21.69707501338621,0.0425,0.6085369503923482,8.6280224230053,0.0175,0.8452208277480966,6.525701585382131
10.0,0.0675,0.5978763190711128,2.6527084923871125,0.06,0.8614358500243374,12.994783728916381,0.0225,0.43762332705782264,8.957284815150905
11.0,0.075,0.970078952580704,4.025544184462976,0.0325,0.8577957405279859,11.190832349081115,0.0225,0.06947889749637233,20.202800139118064
12.0,0.055,0.977447833190542,9.176582544330008,0.03,0.9673653460435323,1.7072593543361814,0.0275,0.377747241459192,20.823491217103335
13.0,0.0725,0.631400193104206,4.590294767708865,0.0675,0.8275193659251604,24.902185640831974,0.02,0.3167392302059704,8.70813321687481
14.0,0.075,0.9756263897096578,5.546353999252734,0.0225,0.7405982743786136,4.5233176982174275,0.0175,0.33825775743317016,31.376408184826087
15.0,0.055,0.9788639751805331,27.11731501667552,0.025,0.9230300243557815,2.3060124342380126,0.0125,0.5404985853378695,12.353128014016363
16.0,0.05,0.9652252628197093,13.107774632574108,0.08,0.9107176835223934,9.596836885153868,0.0375,0.4767102533735227,20.896432165908465
17.0,0.0125,0.508425499153651,28.064135855018122,0.0475,0.8733373049824259,29.269473361969197,0.0175,0.3651198097790962,15.870860644316622
18.0,0.0025,0.5636478851690165,2.953516191284762,0.035,0.9695141584249507,12.531426441233549,0.0175,0.9869630209402976,23.264787680926414
19.0,0.09,0.7998715499319919,48.3167755047719,0.0475,0.8174065207905964,26.47887718642917,0.02,0.4646093299578388,11.86114633569073
20.0,0.085,0.9693619423322127,5.743929800013187,0.03,0.9369886250500854,41.543939630408566,0.0175,0.2567077713145192,26.259530643011946
21.0,0.05,0.9699380326232474,6.001283294901437,0.0375,0.9979996096884228,5.449834223211548,0.01,0.9484979668933737,18.35930715608853
22.0,0.0325,0.9569905921559916,37.74843712436474,0.03,0.9975721391492477,24.284669460567947,0.0225,0.9984798619560641,5.264075718002539
23.0,0.0625,0.39696361701821614,6.648743241789738,0.055,0.8290536226904377,23.3178629646104,0.0175,0.9357065935443397,30.585291372661615
24.0,0.0875,0.9699442932737431,21.417105665114388,0.02,0.6010250681636933,12.022807225248958,0.0075,0.7177574212697041,22.210927822385152
