,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-81.44715118408203,70.42393493652344,-6.639621734619141,-20.96169662475586,-29.68836212158203,28.886066436767578,-14.764123916625977,1.791185736656189,-10.354608535766602,-8.010177612304688,-3.2555041313171387,-7.410572052001953,-4.581002235412598,3420.38105547541,6858.3251953125,0.05977915599942207,2817.856307516493,0.12158203125
1.0,40.883670806884766,57.060546875,-8.64645767211914,4.188913822174072,-6.242101669311523,-2.5102038383483887,-20.148365020751953,-11.995734214782715,-21.3735294342041,-1.705141544342041,-24.360652923583984,6.493437767028809,-10.285776138305664,3279.8153228159395,7407.421875,0.038332559168338776,3037.862003990094,0.17578125
2.0,-2.8803775310516357,92.4087142944336,-31.209211349487305,-24.573062896728516,-17.426647186279297,-1.5423591136932373,-24.347286224365234,-6.220299243927002,-31.247623443603516,-3.794529438018799,-9.614851951599121,7.293623924255371,-1.1038497686386108,2519.0101493650736,5900.09765625,0.02088429033756256,2601.7122144733935,0.1123046875
3.0,-47.83884811401367,106.94939422607422,-19.876724243164062,-2.788846492767334,-11.289703369140625,-16.12799835205078,-14.860197067260742,-4.3394269943237305,-37.0315055847168,-3.760927200317383,-10.324798583984375,5.611177444458008,-10.225468635559082,2045.9038847897377,3951.3427734375,0.00910725723952055,2391.7311226968754,0.076171875
4.0,-33.536170959472656,157.896728515625,-3.195431709289551,31.0743465423584,9.614837646484375,28.858190536499023,4.129672527313232,13.562080383300781,-4.82093620300293,1.603858232498169,-3.011605978012085,-1.6167634725570679,-10.659194946289062,857.9010073079335,1528.857421875,0.000459008093457669,1513.9502609262418,0.06298828125
5.0,-79.26229858398438,97.0,-22.330846786499023,-0.09085953235626221,4.336170196533203,28.554019927978516,2.1495633125305176,22.667869567871094,3.986712694168091,17.94073486328125,18.031997680664062,11.731083869934082,8.411275863647461,1679.152186829419,3725.244140625,0.001281316508539021,2329.5430105844694,0.0205078125
6.0,23.257118225097656,76.03439331054688,30.700490951538086,33.25379180908203,5.976165771484375,35.651268005371094,1.202927589416504,12.785163879394531,4.671339988708496,8.169809341430664,-6.888893127441406,7.494300365447998,-7.0544915199279785,2403.864378968379,6158.49609375,0.00707741966471076,2985.4373906535675,0.08349609375
7.0,-8.724260330200195,21.677417755126953,22.26917266845703,24.98028564453125,-7.750154495239258,42.18653869628906,8.84699821472168,10.873743057250977,9.879903793334961,15.840811729431152,14.485540390014648,16.986417770385742,2.0449411869049072,4044.6458220518075,7784.2529296875,0.022779099643230438,3120.6596223683678,0.10009765625
8.0,-13.578536033630371,117.75917053222656,-7.492731094360352,-5.29653787612915,2.9921112060546875,19.193157196044922,-8.224750518798828,3.1711769104003906,-15.617112159729004,6.197872161865234,6.691810131072998,-4.727978229522705,-2.8416295051574707,1847.819672545897,4015.9423828125,0.006764101795852184,2367.353465619789,0.052734375
9.0,-51.027427673339844,122.87196350097656,-43.068321228027344,-23.081497192382812,-4.3815107345581055,0.7821626663208008,-21.439258575439453,-18.786008834838867,-34.57062530517578,-3.5351247787475586,-7.028318405151367,2.9587626457214355,3.3851609230041504,1645.2759065251223,2562.451171875,0.003029138781130314,1900.3763954340377,0.06884765625
