,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-70.60721588134766,67.36659240722656,17.05614471435547,17.70423126220703,-14.419388771057129,-13.459449768066406,-13.013660430908203,3.456906795501709,-17.992740631103516,3.261613607406616,3.7004988193511963,14.50136947631836,-17.531776428222656,3252.6342453553943,7547.3876953125,0.05524221807718277,3074.711580754576,0.06005859375
1.0,-31.462955474853516,33.2135124206543,19.582489013671875,24.88721466064453,-23.784706115722656,2.2900516986846924,-14.01602554321289,5.857186317443848,-16.967052459716797,-3.0411672592163086,-16.059003829956055,2.3237464427948,-12.887588500976562,4228.399886465328,7945.751953125,0.10174807906150818,3043.955788743826,0.27880859375
2.0,-40.6077766418457,33.72968292236328,13.108051300048828,34.16734313964844,-25.765403747558594,13.871405601501465,-18.089122772216797,4.269005298614502,-13.56982707977295,-3.899256944656372,-15.586109161376953,1.3207149505615234,-19.30064582824707,4080.1317112471133,7213.623046875,0.0968615785241127,2808.505569511306,0.27880859375
3.0,-42.41422653198242,61.371097564697266,-5.557847499847412,19.070396423339844,-11.213220596313477,1.0734672546386719,-29.695762634277344,3.2251152992248535,-2.854881763458252,10.540069580078125,-11.620465278625488,-3.889644145965576,-26.299102783203125,3073.8308780320385,6632.2265625,0.03379295766353607,2767.5386198870056,0.1796875
4.0,-147.53298950195312,35.110107421875,11.691625595092773,9.073713302612305,-16.38865852355957,3.6156606674194336,-20.709552764892578,2.2940568923950195,-13.63504409790039,3.7573680877685547,-15.340625762939453,0.2987072467803955,-16.158245086669922,4229.787879558409,7934.9853515625,0.09307104349136353,3072.668371396074,0.3212890625
5.0,-102.81718444824219,69.89313507080078,2.3731253147125244,18.008522033691406,2.8335742950439453,-5.076815128326416,-32.59641647338867,-4.060937881469727,-25.855392456054688,-3.2201175689697266,-21.95343780517578,-5.164335250854492,-8.454086303710938,2463.5670905393017,6158.49609375,0.005848871544003487,2755.910868675601,0.14013671875
6.0,40.62075424194336,55.66499328613281,13.47191333770752,37.115135192871094,-1.643385648727417,24.246826171875,-3.058588743209839,18.317150115966797,0.0816882848739624,10.699410438537598,-2.1649508476257324,11.193221092224121,-10.924285888671875,3401.7096178350266,7030.5908203125,0.05179524049162865,2988.5123735664683,0.14208984375
7.0,8.388195037841797,61.216270446777344,10.414865493774414,46.27207946777344,-5.1900458335876465,12.254152297973633,-11.83444595336914,16.221391677856445,3.0123677253723145,13.961019515991211,-1.6990461349487305,8.678647994995117,-10.671072006225586,3017.3536885177377,6384.5947265625,0.02146567590534687,2827.193129940965,0.15576171875
8.0,-47.32258224487305,87.4564208984375,3.3182566165924072,35.154754638671875,-12.27155876159668,7.876025199890137,-10.358942031860352,18.262676239013672,-10.990072250366211,5.864444732666016,-9.602773666381836,3.871302843093872,-10.355789184570312,2543.7792484062034,5803.1982421875,0.017427708953619003,2594.108604749906,0.1201171875
9.0,-82.66299438476562,72.15037536621094,22.630477905273438,34.63753890991211,-16.990798950195312,9.74876594543457,-13.69526481628418,20.83540916442871,-8.9354829788208,14.076665878295898,-6.621366500854492,3.72698974609375,-9.09677791595459,3059.7285940546717,6739.892578125,0.030218331143260002,2895.2114756795363,0.1650390625
10.0,-97.75801849365234,93.96157836914062,21.95232391357422,10.92001724243164,-14.037734031677246,-6.0987019538879395,-12.58533763885498,13.827789306640625,-10.941289901733398,-4.338932991027832,-10.567001342773438,13.842618942260742,-3.1533055305480957,2483.163615185951,6352.294921875,0.010953105986118317,2888.565850901817,0.10595703125
