,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-207.532470703125,-20.375362396240234,11.390592575073242,42.985435485839844,31.251447677612305,4.019745826721191,-24.7445011138916,-4.404223442077637,-19.569053649902344,1.8667831420898438,-25.823055267333984,-5.468958377838135,1.4698678255081177,5035.057300584294,8580.9814453125,0.1246672049164772,2963.628472973028,0.1630859375
1.0,-276.7381896972656,-39.3489875793457,-1.5676066875457764,69.23587036132812,25.102741241455078,6.6878767013549805,-39.777374267578125,6.794318199157715,-25.610279083251953,-0.5771817564964294,-26.733646392822266,-8.984565734863281,14.701812744140625,4064.2409052395474,6955.224609375,0.0067139556631445885,2578.25074339486,0.2373046875
2.0,-31.90311622619629,6.488517761230469,-7.181041240692139,44.78916931152344,8.196725845336914,1.9983654022216797,-31.15005111694336,-18.309589385986328,-17.967811584472656,2.799795627593994,-6.868307113647461,-2.5057573318481445,-23.881879806518555,4366.418857701129,7967.28515625,0.17798413336277008,2829.2642709706242,0.28173828125
3.0,-136.06546020507812,17.767723083496094,-15.606595993041992,-10.978004455566406,-50.08949279785156,-13.61121940612793,-5.229120254516602,17.640213012695312,-16.12693977355957,-0.5379917025566101,-15.791650772094727,-0.32893991470336914,-2.337519884109497,4136.482186999571,7784.2529296875,0.10403470695018768,2941.4354278642795,0.31640625
4.0,-211.407958984375,5.654902458190918,-1.1872282028198242,28.950050354003906,-31.66254425048828,-15.640497207641602,-12.79271125793457,20.853939056396484,-15.241767883300781,12.589265823364258,-8.631684303283691,-5.265170097351074,19.429275512695312,3701.977875168133,6912.158203125,0.021287759765982628,2731.838285127182,0.17578125
5.0,-238.12925720214844,53.0386848449707,-3.5661325454711914,25.93874740600586,-39.96887969970703,-25.10019302368164,-7.768070220947266,4.247219085693359,-41.47565460205078,-6.873115062713623,-22.926326751708984,-9.443597793579102,15.552728652954102,2752.338713567521,5986.23046875,0.012093455530703068,2517.200313993917,0.158203125
6.0,-161.27931213378906,-40.437744140625,-12.619962692260742,42.111488342285156,9.160133361816406,11.742630004882812,-16.885730743408203,-3.121896743774414,-12.509689331054688,0.9469234943389893,-11.058429718017578,1.2240041494369507,-11.782814025878906,5198.928126463199,8408.7158203125,0.22445577383041382,2636.0761954877794,0.40869140625
7.0,-117.3598403930664,-39.51932144165039,-26.935916900634766,43.42382049560547,12.224868774414062,5.574045181274414,-24.61663818359375,-1.0147818326950073,-17.320171356201172,-4.767768859863281,-22.643112182617188,-11.548259735107422,-16.25311279296875,4710.046371199001,8042.6513671875,0.10462644696235657,2676.5668959980408,0.30615234375
8.0,-261.0844421386719,-4.906652927398682,-28.17657470703125,63.40111541748047,16.158466339111328,-12.169885635375977,-26.197887420654297,7.455415725708008,-21.014083862304688,-13.964519500732422,-26.866878509521484,-0.9579389095306396,-10.630931854248047,3751.925284381731,6826.025390625,0.05466165393590927,2438.2653949003984,0.23876953125
9.0,18.62824821472168,48.00276565551758,1.8277424573898315,36.373313903808594,-8.054422378540039,1.382368803024292,-10.491000175476074,8.543603897094727,-5.895547866821289,6.471746444702148,-15.248893737792969,-2.9710476398468018,-10.467325210571289,3647.7061708564097,7181.3232421875,0.11763391643762589,2884.4172526818907,0.17431640625
