,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,15.638123512268066,81.37763977050781,-32.26477813720703,20.030479431152344,-9.623411178588867,11.685513496398926,-12.222180366516113,5.499741554260254,-24.146930694580078,-9.459132194519043,-13.859848022460938,11.213136672973633,-13.327970504760742,2630.034275346732,5372.5341796875,0.06246258318424225,2357.228784666427,0.07373046875
1.0,-99.10305786132812,95.50115966796875,-35.3167724609375,22.09445571899414,13.8538818359375,23.626976013183594,10.315863609313965,8.653554916381836,-8.88005256652832,3.1815614700317383,-8.657925605773926,5.692301273345947,-15.52511978149414,2202.20655125051,4112.841796875,0.01546957716345787,2240.9426949414983,0.115234375
2.0,69.20658874511719,111.99014282226562,-40.1052131652832,12.011078834533691,-19.081348419189453,0.6447712779045105,-25.59029769897461,2.328930139541626,-18.042617797851562,5.89874267578125,-4.869225978851318,3.4411659240722656,-6.2090301513671875,2084.819596204851,4080.5419921875,0.01701935939490795,2075.730369877258,0.1142578125
3.0,-71.16663360595703,109.13629913330078,-31.167457580566406,-12.138071060180664,-42.46317672729492,-1.3509132862091064,4.164883613586426,12.788309097290039,-7.261073112487793,-1.3745092153549194,-3.487062931060791,2.5618393421173096,-16.153491973876953,1740.9538370353555,3294.580078125,0.0027299304492771626,1979.7810966621234,0.0732421875
4.0,-78.05374908447266,64.98493957519531,-17.187545776367188,3.0528762340545654,-8.946380615234375,38.585174560546875,-5.183183670043945,15.37952995300293,-22.67108917236328,7.264895439147949,-27.226776123046875,-4.055535316467285,-3.6836676597595215,3235.509878994635,6750.6591796875,0.030681191012263298,2733.593514273357,0.19287109375
5.0,32.3833122253418,79.98979187011719,-8.329293251037598,27.744007110595703,-9.233402252197266,25.647602081298828,-15.567546844482422,25.457975387573242,-26.280101776123047,15.32900619506836,1.476672649383545,-3.7468247413635254,-4.293121814727783,2981.7042374103526,6470.7275390625,0.03462604805827141,2661.9798086661913,0.24755859375
6.0,-46.07932662963867,145.84762573242188,3.9130454063415527,36.071372985839844,-1.5237163305282593,31.65904998779297,17.730823516845703,13.577198028564453,-4.593646049499512,17.458660125732422,3.262495279312134,13.495033264160156,4.457507610321045,950.412241251475,1787.255859375,0.000441077136201784,1704.700749370939,0.02587890625
7.0,-62.09900665283203,111.11701202392578,-3.360517978668213,26.480913162231445,20.0380916595459,39.92070770263672,8.148507118225098,26.512935638427734,-2.3313801288604736,15.591253280639648,-6.990720748901367,2.8507206439971924,-10.801218032836914,1582.107185850127,3542.2119140625,0.0018514521652832627,2287.196568331883,0.0263671875
8.0,-92.2736587524414,97.59062194824219,-13.745972633361816,9.074228286743164,28.933940887451172,36.55889129638672,2.942687511444092,24.908218383789062,-8.244575500488281,8.029890060424805,-13.653497695922852,1.6938883066177368,-8.050436973571777,1953.2987934276134,4920.3369140625,0.00298659922555089,2531.1415941635337,0.03466796875
9.0,8.633999824523926,112.46725463867188,-20.664318084716797,13.483968734741211,10.47061538696289,3.3341357707977295,-28.609216690063477,-1.679758071899414,-14.79853630065918,13.794175148010254,-9.27502727508545,0.2982347905635834,-7.4010138511657715,1922.60869368701,3649.8779296875,0.008761834353208542,2251.666213120795,0.0703125
10.0,-13.914632797241211,42.996978759765625,14.971529006958008,-9.400854110717773,-5.77517557144165,20.643848419189453,-19.888647079467773,17.916427612304688,-21.484905242919922,15.912760734558105,-8.478829383850098,15.32121467590332,-6.122234344482422,4558.9227044809395,8042.6513671875,0.07101893424987793,3189.533392084151,0.24072265625
11.0,5.503009796142578,100.53324890136719,-34.07463455200195,12.400678634643555,-5.450372219085693,2.868908405303955,-24.369251251220703,7.555543899536133,-39.84861755371094,15.345453262329102,-12.63426399230957,-1.8419716358184814,-11.535165786743164,2386.9810309943814,4898.8037109375,0.014109375886619091,2270.500295140187,0.22705078125
12.0,-35.772274017333984,69.9069595336914,1.2551982402801514,-32.9347038269043,-7.566682815551758,-0.9245380163192749,-25.159534454345703,7.157690525054932,-31.38443374633789,8.602296829223633,-17.893348693847656,9.839937210083008,-4.568315029144287,3808.877592525894,8064.1845703125,0.05499349161982536,3284.0411310103923,0.2578125
13.0,0.0647045150399208,74.1856689453125,-39.808189392089844,-4.859966278076172,14.935619354248047,-10.04937744140625,-37.44805145263672,5.298871994018555,-25.948986053466797,5.981921672821045,-18.881328582763672,-11.893982887268066,-17.527725219726562,2645.6258219944234,6255.3955078125,0.018457842990756035,2522.1322314478266,0.14794921875
14.0,-53.528724670410156,118.55037689208984,-37.552223205566406,10.82899284362793,2.5925934314727783,5.389135360717773,-32.39548110961914,2.3043932914733887,-15.780774116516113,3.922790765762329,-11.866204261779785,-8.439617156982422,-10.213254928588867,1853.7463699891023,3316.11328125,0.006387173198163509,1976.830433352519,0.08203125
15.0,-46.849361419677734,96.94586181640625,-26.482757568359375,-8.486079216003418,1.239147663116455,-9.54779052734375,-29.515811920166016,-5.04606819152832,-19.56437110900879,0.6908218264579773,-21.939050674438477,-2.2434468269348145,-7.001683235168457,2369.8131497240465,5275.634765625,0.016340911388397217,2523.6113981450817,0.1591796875
16.0,54.242919921875,72.62638854980469,-13.529922485351562,4.221195220947266,-21.051471710205078,4.76848030090332,-24.884700775146484,-1.724686622619629,-36.73068618774414,-1.2261621952056885,-9.307439804077148,8.539962768554688,-17.72361946105957,2956.869058247315,6772.1923828125,0.04007948935031891,2763.1510114368193,0.27001953125
17.0,-12.369930267333984,122.00852966308594,-32.304893493652344,-12.544486999511719,-44.521385192871094,-5.624858379364014,-6.53553581237793,5.878486156463623,-14.466486930847168,-2.8248095512390137,-8.348618507385254,9.984142303466797,3.7772839069366455,1752.7679820643648,3423.779296875,0.004615751560777426,1942.0072741676745,0.09228515625
18.0,-92.59333038330078,106.33599853515625,-29.645343780517578,0.84669029712677,-11.685711860656738,-12.769182205200195,-24.518356323242188,-0.09503883123397827,-22.283456802368164,4.277291297912598,-4.293816566467285,9.061697006225586,-0.299274206161499,2020.440488958055,3843.6767578125,0.006122584454715252,2235.591740100419,0.0810546875
19.0,-27.339452743530273,81.15961456298828,-41.642860412597656,14.736316680908203,11.988367080688477,-20.315147399902344,-50.53966522216797,11.04922866821289,-38.62806701660156,5.463556289672852,-17.479110717773438,-13.199055671691895,13.439290046691895,2597.5500136723335,5458.6669921875,0.008174256421625614,2319.673379295127,0.11865234375
20.0,-55.51778030395508,161.279541015625,10.599225997924805,46.29411315917969,3.816272258758545,27.293453216552734,8.231165885925293,5.622162818908691,5.752511978149414,25.730361938476562,-2.263061046600342,7.007707595825195,-1.595526933670044,762.2504534557363,1431.9580078125,0.000267241703113541,1478.618021327133,0.01904296875
21.0,-99.52582550048828,119.58087158203125,6.355739116668701,35.842308044433594,30.109817504882812,41.540279388427734,1.2451869249343872,2.9772861003875732,-4.026768684387207,27.630287170410156,0.9236818552017212,4.332910060882568,-10.179352760314941,1113.9811571743412,2207.1533203125,0.0004859277105424553,1969.2243004595207,0.02001953125
22.0,-7.814822673797607,110.78990173339844,-22.1270751953125,12.039949417114258,14.39444637298584,15.335763931274414,-7.223466873168945,13.427528381347656,-18.116958618164062,11.295821189880371,-3.2539145946502686,10.638626098632812,1.0592682361602783,1821.1454810783075,3466.845703125,0.005274928640574217,2221.390257585377,0.05078125
23.0,9.732908248901367,115.68426513671875,-24.08761978149414,12.05625057220459,-20.923748016357422,2.5880465507507324,-14.508087158203125,9.89368724822998,-10.655105590820312,12.265106201171875,-0.7876951694488525,10.012563705444336,-9.938426971435547,1905.0044761522236,4048.2421875,0.008306032977998257,2136.1710133840943,0.08642578125
24.0,-4.250361919403076,98.56410217285156,-27.907976150512695,3.4449756145477295,11.119956970214844,5.723618030548096,-27.855634689331055,7.540437698364258,-4.632262706756592,23.921552658081055,-4.4572553634643555,12.465015411376953,0.2568390369415283,2109.3831089417677,4328.173828125,0.007723014801740646,2341.795561942676,0.0888671875
25.0,27.253662109375,148.0653839111328,-10.888084411621094,26.149465560913086,4.058524131774902,5.82912015914917,-12.290183067321777,18.226032257080078,-2.142967462539673,9.563846588134766,-10.503475189208984,11.047983169555664,-2.3855338096618652,1331.0494480951218,2487.0849609375,0.0028718903195112944,1836.018713269813,0.056640625
26.0,-32.0052490234375,135.3424072265625,-26.12139129638672,21.963457107543945,23.210847854614258,31.146343231201172,-18.988683700561523,6.122213363647461,-3.802013397216797,19.600004196166992,9.077398300170898,21.218135833740234,-1.4568504095077515,1390.2216846667552,2433.251953125,0.0023577238898724318,1784.434788067844,0.05419921875
27.0,-29.028255462646484,129.84710693359375,-12.870367050170898,22.54647445678711,-5.849276542663574,16.16074562072754,6.060551643371582,-1.229614496231079,-19.502368927001953,5.220763206481934,8.432247161865234,21.568519592285156,9.98044490814209,1577.396354937811,3380.712890625,0.004750716499984264,2009.1908739753317,0.068359375
28.0,-50.80011749267578,102.97465515136719,-15.3343505859375,0.7469183206558228,-38.570011138916016,12.144159317016602,-6.20238733291626,11.393463134765625,-20.302730560302734,-3.6869430541992188,6.04832124710083,10.694440841674805,-1.962005853652954,1881.943994320375,4317.4072265625,0.002816862426698208,2153.464210538293,0.0791015625
29.0,5.668595790863037,103.88969421386719,-22.876789093017578,10.90023422241211,-6.187431335449219,18.934246063232422,-19.560585021972656,4.864828109741211,-34.298980712890625,-2.581186532974243,-10.50458812713623,16.720703125,-7.365464687347412,2268.9650926416907,5221.8017578125,0.017002254724502563,2360.913510440429,0.115234375
30.0,42.80534362792969,101.59101867675781,-34.50011444091797,7.544549942016602,-23.415992736816406,8.182004928588867,-19.46344566345215,11.714750289916992,-13.589271545410156,4.080006122589111,-9.83768081665039,7.371253967285156,-9.112494468688965,2316.9205081937025,4920.3369140625,0.02584672160446644,2254.4900821355704,0.107421875
31.0,-5.344511032104492,120.1995849609375,-16.555118560791016,0.8101810216903687,-32.549583435058594,-4.849732398986816,-11.428971290588379,11.669425010681152,-16.487884521484375,-1.8878395557403564,-16.473556518554688,0.9148445129394531,2.0149481296539307,1797.9992144847358,3628.3447265625,0.0050161732360720634,2105.9187034182573,0.0830078125
32.0,-44.341285705566406,101.64924621582031,-24.74515151977539,-6.2770891189575195,-32.89893341064453,6.879956245422363,-15.26727294921875,6.3119072914123535,-26.304195404052734,-9.401130676269531,-14.798299789428711,-16.70499038696289,-15.24756145477295,2037.7265071588135,4640.4052734375,0.004942487925291061,2219.2084796970034,0.0849609375
33.0,-86.03678894042969,97.90419006347656,-17.292068481445312,-7.1742730140686035,-27.98872184753418,-11.446798324584961,-11.639915466308594,-2.5894744396209717,-46.49419021606445,-5.613678932189941,-18.115087509155273,-15.923494338989258,-11.584878921508789,1870.3275976860944,3671.4111328125,0.0022999385837465525,2289.205261546954,0.052734375
34.0,27.38960075378418,107.25881958007812,48.49318313598633,9.031723022460938,11.54736328125,13.679862976074219,7.003378868103027,11.450860023498535,-1.4558268785476685,17.269451141357422,-11.660634994506836,19.439002990722656,-5.163000106811523,2372.128064729836,7644.287109375,0.008596510626375675,3247.630885522503,0.0703125
35.0,-41.430458068847656,114.48725891113281,-4.523972511291504,13.942663192749023,26.040409088134766,39.88177490234375,9.312703132629395,26.462329864501953,-1.6555649042129517,28.810630798339844,-11.326103210449219,-0.4998818039894104,-6.146207332611084,1562.5656391647994,3466.845703125,0.0019838993903249502,2327.95939014019,0.0224609375
36.0,-87.30606079101562,113.31710815429688,-7.9434967041015625,22.709545135498047,12.556109428405762,40.15941619873047,22.86746597290039,27.59463119506836,-11.470489501953125,9.504695892333984,-19.988292694091797,1.3318793773651123,-4.236708641052246,1446.4247272056518,3380.712890625,0.0011719027534127235,2159.295586680055,0.02294921875
37.0,-91.27376556396484,91.93142700195312,6.426238059997559,-7.843589782714844,-16.418128967285156,8.399842262268066,5.828891754150391,21.82433319091797,-6.3453049659729,18.20806884765625,-2.3741977214813232,5.900804042816162,-1.7551183700561523,2361.1074268640964,6341.5283203125,0.006119919940829277,2876.778773693116,0.0322265625
38.0,-41.14274597167969,110.11279296875,-23.598712921142578,-8.735034942626953,-42.31932067871094,4.057319641113281,5.893499851226807,35.82319259643555,-12.322538375854492,1.0070406198501587,6.6734724044799805,16.363048553466797,-7.031383991241455,1875.8410347950357,3649.8779296875,0.0028642071411013603,2074.8398123936054,0.078125
