,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-74.79515075683594,53.45551300048828,60.41114044189453,36.69080352783203,-5.393437385559082,0.43171972036361694,-22.719972610473633,1.1465094089508057,-0.6911581754684448,7.086861610412598,3.310093402862549,11.638713836669922,-6.071145534515381,3768.42663465487,7816.552734375,0.1092219203710556,3330.0310582468896,0.08642578125
1.0,-113.39514923095703,156.49856567382812,15.258899688720703,26.39975929260254,-36.337623596191406,12.328119277954102,28.632614135742188,3.5420351028442383,-33.58998489379883,2.213620662689209,7.04998779296875,13.461589813232422,16.924060821533203,1239.3337959155426,2594.7509765625,0.000933581031858921,1664.3948439523351,0.0546875
2.0,-92.70968627929688,72.72977447509766,54.018463134765625,38.77539825439453,9.787968635559082,27.424449920654297,-0.9335938692092896,-5.559133052825928,-12.84353256225586,16.03891944885254,-12.526702880859375,-6.902707099914551,3.5878310203552246,2947.4139994896686,7332.0556640625,0.02029351517558098,3240.9147306211985,0.08203125
3.0,-119.77950286865234,1.0434467792510986,37.95698165893555,92.21857452392578,-2.0981335639953613,24.865760803222656,19.634078979492188,24.95949935913086,9.843960762023926,24.55710220336914,4.330382347106934,21.486549377441406,-2.1464059352874756,3798.417894611702,7138.2568359375,0.01879286952316761,2843.155118308006,0.17138671875
4.0,9.556384086608887,81.2518310546875,30.512123107910156,36.26992416381836,-13.44310474395752,14.743824005126953,-4.694692611694336,13.94265365600586,1.6867437362670898,13.561908721923828,-10.269109725952148,12.611920356750488,-5.2328948974609375,2666.744325033754,6503.02734375,0.022622650489211082,2933.065983040617,0.18115234375
5.0,-107.77692413330078,122.70016479492188,30.593734741210938,65.70584106445312,-7.568591117858887,7.846745491027832,-8.294734001159668,12.230456352233887,-4.311424255371094,13.765213966369629,-8.636222839355469,4.818162441253662,17.804306030273438,1351.9069305510243,3413.0126953125,0.001872208435088396,2076.903066825474,0.041015625
6.0,-89.46257019042969,132.95724487304688,-29.601802825927734,57.730289459228516,6.508330821990967,17.87976837158203,-3.5640869140625,11.549615859985352,-3.0793869495391846,26.34627914428711,-19.362289428710938,-16.643115997314453,17.55495834350586,1619.7592480452101,3316.11328125,0.0014941084664314985,1720.4186900410775,0.06982421875
7.0,-105.09113311767578,136.30581665039062,-55.031761169433594,36.53305435180664,12.585613250732422,33.41160583496094,15.688620567321777,21.146869659423828,9.321883201599121,30.921794891357422,-5.371463775634766,-10.272554397583008,21.22748565673828,1440.1274745220744,2616.2841796875,0.0005460347747430205,1511.2514053345365,0.09765625
8.0,-66.99542999267578,46.64512634277344,26.73696517944336,16.499462127685547,14.399030685424805,21.84600067138672,-14.36024284362793,3.314249277114868,-9.603116035461426,23.00113296508789,-9.377641677856445,0.5807393789291382,-3.01558256149292,4076.3475900670655,8279.5166015625,0.06272757053375244,3340.4259740218295,0.1337890625
9.0,-179.75131225585938,119.79942321777344,-17.73453712463379,19.485790252685547,-7.859646797180176,-1.0335018634796143,-5.900744915008545,-27.425262451171875,-21.585796356201172,23.516050338745117,-12.381229400634766,-11.677188873291016,9.263204574584961,1603.6355128053258,3402.24609375,0.0025305654853582382,1890.8234923900554,0.072265625
