,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-191.84539794921875,138.91439819335938,-36.50127410888672,-16.732196807861328,-5.193363189697266,-1.8493531942367554,12.434269905090332,-2.617841958999634,-15.197846412658691,-10.831740379333496,-11.357767105102539,3.718616247177124,-8.980937957763672,1681.7304247877878,2605.517578125,0.013068156316876411,1908.0734898977637,0.04296875
1.0,-322.6434326171875,114.88446044921875,-28.173349380493164,-15.435944557189941,-24.33014488220215,-30.529895782470703,10.270524978637695,-21.558746337890625,-0.8233492374420166,-2.347093105316162,-19.686538696289062,4.058428764343262,-32.55331039428711,1471.4619416503213,2444.0185546875,0.0003707909781951457,2017.348186305286,0.05078125
2.0,-333.7830810546875,111.37626647949219,-18.36807632446289,-2.8987882137298584,-19.558368682861328,-27.604341506958008,-3.5159859657287598,-30.008846282958984,-9.517372131347656,3.9122745990753174,-9.737728118896484,7.461556434631348,-33.41571044921875,1319.4509088957193,2131.787109375,0.00035295402631163597,1943.5868228451766,0.05029296875
3.0,-340.924072265625,114.50337219238281,-14.944212913513184,-3.7724132537841797,-12.413273811340332,-28.741901397705078,1.5695862770080566,-31.747093200683594,-8.889471054077148,2.2449615001678467,-1.275852918624878,19.106319427490234,-26.051549911499023,1658.0831618654706,3229.98046875,0.0009602708742022514,2270.5113829542615,0.05908203125
4.0,-328.77740478515625,121.46969604492188,-12.210987091064453,-2.3947343826293945,-10.027873039245605,-26.63727569580078,-0.6973663568496704,-34.50883483886719,-11.768930435180664,-11.898523330688477,-0.5763156414031982,25.165626525878906,-19.291370391845703,1619.1744086435065,3090.0146484375,0.001588052255101502,2272.3906181228726,0.0439453125
5.0,-255.58526611328125,16.763832092285156,26.094356536865234,9.712080001831055,-10.5612154006958,5.776237487792969,-6.9190673828125,-0.004334401339292526,-26.31621551513672,-9.450759887695312,-17.713327407836914,7.9940571784973145,-3.38901948928833,5248.079502057153,8850.146484375,0.19557814300060272,3168.5787350102833,0.2783203125
6.0,-119.25189971923828,147.22425842285156,-2.170799732208252,28.596454620361328,16.286712646484375,12.843345642089844,-8.307060241699219,-7.125871658325195,-4.102276802062988,15.712907791137695,0.46201789379119873,4.775912761688232,-6.277207374572754,1216.9241761182427,2260.986328125,0.0017777271568775177,1908.2976075387194,0.0341796875
7.0,-290.45343017578125,113.72039794921875,38.41712951660156,10.624732971191406,23.87604522705078,21.533294677734375,20.113399505615234,-5.090973854064941,-12.582202911376953,23.844131469726562,0.9512446522712708,21.079092025756836,6.071266174316406,1208.2634767226916,1798.0224609375,0.0003637297195382416,2423.37966080032,0.02392578125
8.0,-258.80621337890625,135.37904357910156,11.103328704833984,25.357376098632812,22.768613815307617,0.009327054023742676,3.8642354011535645,-2.436594009399414,8.451606750488281,12.527486801147461,-9.424253463745117,27.367523193359375,16.278797149658203,1120.8069647428442,1959.521484375,0.0005930755287408829,2060.32772126985,0.02783203125
9.0,-244.4525146484375,113.7244873046875,-0.5704054832458496,26.859561920166016,17.641632080078125,-24.33460235595703,3.9999642372131348,-9.345370292663574,-5.365821361541748,-2.063396453857422,-12.054156303405762,32.35065841674805,16.274141311645508,1680.004323744783,3326.8798828125,0.0011373425368219614,2396.8477368805407,0.060546875
10.0,-192.83566284179688,122.5419921875,-6.95101261138916,8.083402633666992,8.353893280029297,-8.501421928405762,-14.597905158996582,-18.034727096557617,-17.410343170166016,9.295452117919922,-1.4973112344741821,22.72700309753418,0.9832432270050049,1814.1063696938988,3369.9462890625,0.004622051492333412,2351.121236629251,0.072265625
11.0,-219.5348358154297,78.48576354980469,26.477184295654297,-0.19651508331298828,8.58199405670166,3.4326329231262207,-21.706130981445312,-4.976545333862305,-23.692928314208984,1.1807961463928223,-7.449907302856445,13.5479154586792,2.9784770011901855,3150.86029949271,7988.818359375,0.018122375011444092,3309.0083271141443,0.1640625
12.0,-232.23306274414062,117.55758666992188,10.368672370910645,-1.3966729640960693,-17.12166404724121,-4.863486289978027,-18.006546020507812,-22.750320434570312,-20.259002685546875,2.0571365356445312,-6.841796875,13.878193855285645,2.6747894287109375,1767.7621073625498,4015.9423828125,0.004873928613960743,2400.632259809198,0.080078125
13.0,-203.37200927734375,113.53204345703125,-35.70282745361328,-3.28611421585083,2.587306022644043,-28.742706298828125,-10.518720626831055,-13.744909286499023,-10.761629104614258,5.752708435058594,-3.9090187549591064,18.945877075195312,16.065704345703125,1855.6561295976433,3316.11328125,0.0014893612824380398,2161.5580442705123,0.0849609375
14.0,-198.60693359375,173.36126708984375,-13.219724655151367,16.276687622070312,-8.779211044311523,-0.4997389316558838,-15.493060111999512,-14.697111129760742,-15.533788681030273,-14.174067497253418,-8.324405670166016,-9.468223571777344,-10.656734466552734,1040.917336367925,1701.123046875,0.0009397947578690946,1446.495339797643,0.06591796875
