,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-49.342628479003906,102.7264404296875,48.79172134399414,21.537006378173828,15.44662094116211,17.296606063842773,4.47808313369751,20.486690521240234,2.715275287628174,6.915834426879883,-3.6303014755249023,5.070738792419434,2.629601001739502,1688.9800747411512,5157.2021484375,0.005125272553414106,2796.699522880603,0.005859375
1.0,-44.58246994018555,87.25581359863281,29.974185943603516,64.33786010742188,38.138336181640625,16.923927307128906,-13.086040496826172,30.714176177978516,-3.6845645904541016,9.867966651916504,-12.55528450012207,27.504146575927734,-37.50355529785156,2003.8854308164487,5286.4013671875,0.0014956708764657378,2752.3985004171013,0.01171875
2.0,-145.16896057128906,200.56204223632812,-12.78213882446289,53.01475524902344,33.341400146484375,20.673145294189453,18.360734939575195,-2.95703125,6.95229434967041,7.106380462646484,-2.7507827281951904,-2.8470699787139893,3.006507396697998,460.29859186914484,796.728515625,1.5895306205493398e-05,902.4202028914923,0.005859375
3.0,-20.137941360473633,120.79309844970703,3.3218398094177246,43.73458480834961,13.153644561767578,22.687267303466797,-11.687660217285156,7.797835350036621,-17.450847625732422,33.73268127441406,4.352527141571045,9.112699508666992,4.5138349533081055,1545.0787979897023,3692.9443359375,0.0014788135886192322,2215.4823107996294,0.00732421875
4.0,-41.257511138916016,64.6063232421875,6.224467754364014,52.37091064453125,16.9256591796875,30.64188003540039,-2.0023093223571777,15.053999900817871,-4.781385898590088,22.396366119384766,-13.96922492980957,4.999129295349121,12.296642303466797,2360.0207677679837,6018.5302734375,0.004153573885560036,2749.0940592329925,0.072265625
5.0,-34.411800384521484,27.61578369140625,-6.86355447769165,23.31167984008789,-15.871538162231445,15.45405101776123,2.8835206031799316,7.739882946014404,-24.391958236694336,12.453327178955078,-12.099166870117188,-6.45990514755249,-3.180380344390869,4200.773617891827,7310.5224609375,0.12963299453258514,2733.3146889574023,0.27392578125
6.0,-47.97272491455078,166.39578247070312,20.102638244628906,32.13591003417969,13.072711944580078,16.563152313232422,20.326030731201172,10.269447326660156,-14.118456840515137,26.88665771484375,-16.336898803710938,21.735626220703125,-5.637546539306641,806.703059265934,1259.6923828125,0.0003710590535774827,1659.7331469388128,0.0185546875
7.0,-103.18757629394531,131.77499389648438,29.76877784729004,54.39532470703125,-0.7727711200714111,46.256221771240234,1.0594221353530884,-0.12922579050064087,3.6226720809936523,11.817726135253906,10.19437026977539,5.2819929122924805,0.5554150938987732,865.1398854028206,1636.5234375,0.00020539044635370374,1774.1771570123324,0.01123046875
8.0,-65.34481811523438,104.98579406738281,50.647300720214844,38.42766571044922,26.18852996826172,25.257369995117188,1.6250325441360474,3.454434633255005,-3.8867578506469727,12.134692192077637,-8.023587226867676,10.94104290008545,-6.311028480529785,1543.5486505559525,4414.306640625,0.0011428527068346739,2715.8168062936475,0.021484375
9.0,-47.178306579589844,105.39585876464844,67.59193420410156,20.30558967590332,41.030067443847656,6.035449981689453,12.69627571105957,12.959878921508789,-1.4921778440475464,13.561836242675781,-3.5843706130981445,14.208646774291992,-8.594263076782227,1976.747767107928,7816.552734375,0.0019160386873409152,3295.5219600196738,0.033203125
10.0,-35.26459884643555,107.61659240722656,7.051762104034424,70.2137451171875,23.571199417114258,-13.918207168579102,12.431768417358398,10.770793914794922,-1.265653371810913,15.171083450317383,-13.255680084228516,19.934612274169922,-2.0701448917388916,1671.5430153872258,3477.6123046875,0.0013736821711063385,2351.036712850597,0.0322265625
11.0,-74.02403259277344,105.47283935546875,-24.958454132080078,40.890960693359375,-8.597455024719238,4.768761157989502,23.095752716064453,-3.524141311645508,-4.7703752517700195,46.68180847167969,4.86168098449707,8.589851379394531,-2.2164173126220703,1832.382090236094,3596.044921875,0.0022612749598920345,1944.5645859928095,0.0595703125
12.0,-298.8813781738281,125.84832763671875,23.578123092651367,8.686838150024414,-20.946386337280273,-13.282943725585938,11.386878967285156,-9.423057556152344,-22.83045196533203,3.43729305267334,-1.5367534160614014,-11.263580322265625,-1.6974232196807861,890.298496760628,1162.79296875,0.0001322936441283673,1655.9110185885745,0.03076171875
13.0,-168.458984375,39.00596237182617,13.496284484863281,35.45356750488281,-67.14767456054688,-15.495357513427734,21.15601348876953,-5.6232404708862305,-43.51094055175781,3.907973527908325,-45.756736755371094,-6.825133323669434,10.779086112976074,2631.833456091472,5727.83203125,0.0013096359325572848,2498.390866775124,0.06201171875
14.0,-263.9278259277344,11.964402198791504,4.578158378601074,61.08776092529297,-18.550729751586914,14.312763214111328,-11.135490417480469,-10.848669052124023,-3.9665565490722656,-15.849093437194824,-9.477299690246582,-4.465476036071777,-7.552918434143066,3908.6232659485313,5975.4638671875,0.04204446077346802,2459.178030160201,0.1591796875
15.0,-46.35038757324219,49.936058044433594,-19.548166275024414,16.940507888793945,-37.469398498535156,3.079258918762207,-16.88945770263672,-30.151958465576172,-40.406978607177734,18.062747955322266,-17.402130126953125,-3.2517752647399902,-11.255566596984863,3047.8051394059003,6341.5283203125,0.015313753858208656,2655.7194014629117,0.18603515625
16.0,-103.96958923339844,50.29578399658203,-27.495807647705078,33.78125762939453,3.277566432952881,-9.010890007019043,-22.426137924194336,-28.11785888671875,-35.251991271972656,17.238079071044922,-33.44257354736328,-21.315937042236328,-4.926187515258789,2534.764805053631,4715.771484375,0.0061145261861383915,2441.689896127158,0.07275390625
17.0,-270.12921142578125,14.288670539855957,19.99590301513672,43.72917556762695,11.574459075927734,3.0050039291381836,-18.137332916259766,1.023746371269226,-11.418085098266602,-5.757535934448242,-15.26597785949707,-3.7311692237854004,-1.6891509294509888,4269.455016747018,7999.5849609375,0.07008277624845505,3033.5729979240455,0.17724609375
18.0,-127.87017822265625,41.04851531982422,12.50788688659668,33.85633850097656,9.4509859085083,3.805457830429077,-31.027637481689453,-6.455860137939453,-28.370485305786133,20.72997283935547,-22.640933990478516,-13.973628997802734,-12.218088150024414,3445.9752502126858,7428.955078125,0.016953427344560623,3068.7529485045125,0.10009765625
19.0,-442.3981018066406,39.208770751953125,31.033689498901367,27.204334259033203,20.64490509033203,10.76207447052002,3.652462959289551,-0.629545271396637,-1.551565408706665,1.072020411491394,1.2714265584945679,0.08870279043912888,4.022861003875732,2510.378867788064,6190.7958984375,0.014793873764574528,2892.5712613730498,0.07958984375
20.0,-202.9945831298828,-48.97114562988281,-17.03736114501953,10.330059051513672,-32.49278259277344,7.455572128295898,-11.494697570800781,9.625657081604004,0.8030372262001038,9.915424346923828,-9.912246704101562,-0.04849720001220703,-6.966507434844971,5449.157366318054,8128.7841796875,0.17227604985237122,2347.0846857579686,0.37548828125
21.0,-20.811201095581055,9.137365341186523,-3.654348850250244,1.247528076171875,-32.004913330078125,-16.770309448242188,-44.55015182495117,-27.241703033447266,-26.465774536132812,-9.988710403442383,-23.895950317382812,-10.77806282043457,-6.2097272872924805,4573.805552673606,8419.482421875,0.1397634595632553,3087.1283238867527,0.3251953125
