,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-60.668941497802734,117.4412612915039,-53.94333267211914,14.008092880249023,28.980365753173828,-2.8465518951416016,14.39619255065918,9.522907257080078,-13.395210266113281,16.44882583618164,23.07198715209961,3.6092681884765625,5.043575286865234,1916.868765817399,3090.0146484375,0.01439687330275774,1866.0282402044754,0.04736328125
1.0,-108.04158782958984,117.01335144042969,-40.139495849609375,70.91481018066406,56.59504699707031,-43.607826232910156,-1.9686768054962158,16.16135597229004,-5.976048469543457,21.86663246154785,10.218260765075684,23.46733283996582,14.536050796508789,1764.2900657405314,2950.048828125,0.0016815046546980739,1688.0622022077405,0.0693359375
2.0,105.40480041503906,69.18875122070312,-13.76067066192627,13.36231803894043,-11.406460762023926,-1.124202847480774,-4.513326168060303,2.806147575378418,-8.19130802154541,-10.04646110534668,-5.8896331787109375,5.025873184204102,1.2515861988067627,3010.9123720363623,6212.3291015625,0.08790691941976547,2714.4120478506475,0.1044921875
3.0,-36.3919792175293,67.17301940917969,-44.238670349121094,12.511819839477539,-1.5067946910858154,-13.251208305358887,-4.814944267272949,8.68152904510498,-1.5056147575378418,7.734464645385742,0.2607693672180176,-1.1689674854278564,10.508817672729492,2856.8671558981578,5092.6025390625,0.05998813360929489,2348.7730105969163,0.17724609375
4.0,-227.99583435058594,30.26458740234375,21.217384338378906,10.197748184204102,20.80270767211914,-0.637628436088562,-0.3118516206741333,-6.649436950683594,-6.20496940612793,9.840433120727539,-8.69202995300293,-9.654580116271973,-4.4427289962768555,4550.253246543782,9043.9453125,0.11965332925319672,3550.790421572373,0.330078125
5.0,-278.47161865234375,69.17626953125,32.15684127807617,16.600139617919922,-10.380812644958496,4.0439581871032715,-14.048757553100586,3.137544870376587,-9.25307846069336,-0.964923620223999,-10.867114067077637,-18.062183380126953,-7.997570991516113,2702.2238640016726,6653.759765625,0.012588643468916416,3071.5263853997235,0.0693359375
6.0,-103.50752258300781,97.00924682617188,-105.09170532226562,-2.441438913345337,13.097475051879883,-28.827693939208984,-20.49812126159668,13.816720008850098,-15.246126174926758,20.126956939697266,5.359720230102539,-15.263816833496094,12.868497848510742,2043.5935437173853,3208.447265625,0.0034942985512316227,1454.966390198322,0.12548828125
7.0,-185.04405212402344,54.137908935546875,-134.1573486328125,-11.557089805603027,7.491756916046143,-39.8448486328125,-10.645197868347168,21.322269439697266,-11.90493106842041,10.082611083984375,-13.029616355895996,-23.056903839111328,-3.658557891845703,2252.859022230238,3046.9482421875,0.0020884983241558075,1315.199190685026,0.16845703125
8.0,-142.7905731201172,107.50788116455078,3.3160464763641357,-6.160619735717773,-13.065773010253906,1.7523592710494995,4.96205997467041,6.741150856018066,-21.542926788330078,1.6607513427734375,-10.370447158813477,-1.9834222793579102,4.553525924682617,2332.8749000636417,5878.564453125,0.0341775007545948,2678.811583001424,0.11279296875
9.0,-143.53079223632812,121.92926025390625,-82.99882507324219,-33.731998443603516,-11.494888305664062,-28.40833282470703,-9.857454299926758,23.386293411254883,-37.75265121459961,1.2211328744888306,23.085529327392578,-9.379579544067383,-16.372493743896484,1751.821664481293,2799.31640625,0.0019186962163075805,1426.1231617933313,0.11328125
