,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-24.680587768554688,104.39897155761719,11.008661270141602,-8.544631004333496,-30.723506927490234,10.420072555541992,-3.517828941345215,14.289405822753906,-15.24429702758789,-7.649249076843262,-3.315436840057373,10.390392303466797,10.09080982208252,2175.7135430897397,5512.5,0.016684258356690407,2532.8724359258963,0.04150390625
1.0,-14.528172492980957,86.01083374023438,7.1201395988464355,16.13825798034668,5.577909469604492,-5.3034820556640625,-12.631902694702148,5.078150272369385,-15.45579719543457,-2.763214588165283,-8.141788482666016,2.5928127765655518,-1.556668758392334,2620.6122881195756,6287.6953125,0.03407073765993118,2820.6500892192144,0.09521484375
2.0,70.33138275146484,41.874176025390625,-18.064979553222656,9.952278137207031,-8.143925666809082,7.9469218254089355,-6.944614410400391,1.8418513536453247,-10.451351165771484,1.8935770988464355,0.23326492309570312,1.7020899057388306,-5.957886695861816,3581.1241599971763,7030.5908203125,0.1159338504076004,2765.7221832861796,0.19677734375
3.0,13.878535270690918,58.98823547363281,-29.987564086914062,-16.262229919433594,-20.49801254272461,-0.3567545413970947,-5.969532012939453,-2.399247884750366,-19.93437957763672,-1.4744727611541748,0.971221387386322,-0.5057883262634277,-1.8040879964828491,2975.9368791531165,6352.294921875,0.043535832315683365,2665.86783363807,0.1455078125
4.0,-58.63738250732422,82.48384094238281,-36.312950134277344,-0.3998730480670929,-13.059609413146973,2.505268096923828,-17.479259490966797,-1.2782626152038574,-12.332210540771484,1.1989368200302124,-6.353493690490723,-5.287869453430176,-8.602235794067383,2575.8552548095995,5372.5341796875,0.03786429017782211,2391.736157465838,0.1416015625
5.0,-107.75592803955078,106.76362609863281,-44.14787292480469,3.8034915924072266,-22.372562408447266,-2.184037685394287,-10.66352653503418,3.7414255142211914,-9.251092910766602,-10.108749389648438,-14.93133544921875,-8.164499282836914,-12.17654037475586,2037.1452532265891,3940.576171875,0.01299769151955843,2012.6640822031543,0.08642578125
6.0,17.610393524169922,73.30965423583984,-66.05585479736328,-8.982356071472168,-6.650399684906006,-45.08831024169922,-27.016395568847656,-18.313798904418945,-22.42401885986328,-14.604138374328613,-6.88580322265625,-12.18593978881836,3.5819289684295654,2450.263881388834,3757.5439453125,0.017327360808849335,2184.327275181638,0.130859375
7.0,-3.9335525035858154,109.744873046875,13.262001037597656,42.00703811645508,16.742952346801758,14.42269229888916,6.8519206047058105,24.155948638916016,6.004250526428223,10.313753128051758,-3.245163679122925,6.554973602294922,1.6758959293365479,1434.5981650449737,3413.0126953125,0.0032923186663538218,2257.57328385769,0.06005859375
8.0,5.553211212158203,79.55459594726562,32.060890197753906,8.717543601989746,23.013334274291992,0.3976377546787262,-4.612346649169922,9.746423721313477,3.766200065612793,-0.5838977098464966,-1.265574336051941,4.213868618011475,3.7192704677581787,3132.3019791623774,8171.8505859375,0.04557639732956886,3428.5936103335707,0.16796875
9.0,9.082399368286133,46.67425537109375,55.436397552490234,16.870315551757812,29.17280387878418,13.349395751953125,19.777690887451172,12.551554679870605,6.159969329833984,8.362486839294434,-3.907536268234253,14.6179838180542,5.945557117462158,3813.9736413155133,8957.8125,0.021558016538619995,3866.1422265884553,0.08984375
10.0,14.760456085205078,58.57356262207031,-5.923085689544678,52.370018005371094,13.962668418884277,-6.681873321533203,-0.1294425129890442,23.671905517578125,-11.15297794342041,-14.186664581298828,6.921042442321777,2.4759035110473633,11.707691192626953,2882.8846654855033,5684.765625,0.02496775984764099,2461.474249987819,0.17236328125
11.0,-40.99767303466797,110.07872009277344,5.801568984985352,25.483028411865234,22.649890899658203,-10.045235633850098,-15.800921440124512,19.0363712310791,-2.139955759048462,11.317031860351562,-0.3721238374710083,9.275453567504883,-1.6817412376403809,1948.1916639927563,3768.310546875,0.007494843099266291,2415.0665494327377,0.09375
12.0,-19.29574966430664,77.84074401855469,5.426578521728516,16.549699783325195,30.168943405151367,-6.724387168884277,-7.277924537658691,22.478139877319336,-3.943110704421997,8.273523330688477,4.421090602874756,-1.8975021839141846,11.565999031066895,2835.5335978494495,6686.0595703125,0.018529122695326805,2917.326247155761,0.12890625
13.0,-2.0374886989593506,84.02418518066406,-1.8990384340286255,3.7557311058044434,-5.521927833557129,18.061979293823242,-9.707979202270508,14.188190460205078,-10.188338279724121,20.296754837036133,24.47653579711914,13.321805953979492,-0.11243261396884918,2370.6887302204686,5620.166015625,0.010576380416750908,2525.1952185408804,0.1005859375
14.0,-81.62078094482422,122.12457275390625,-1.0306628942489624,11.636972427368164,-3.062371253967285,16.120155334472656,-0.3935467004776001,22.56578826904297,-6.361926078796387,10.970273971557617,9.27926254272461,3.53964900970459,13.068669319152832,1684.6830670180082,3509.912109375,0.006033116020262241,2213.880406795358,0.05419921875
15.0,-35.78176498413086,109.21112823486328,-26.700824737548828,20.403459548950195,23.51665496826172,-6.5615973472595215,-9.745168685913086,2.660811424255371,-2.9852492809295654,27.770837783813477,3.6188602447509766,2.311244249343872,25.441104888916016,1931.9796726298398,3574.51171875,0.004197780508548021,2051.3178279248627,0.08154296875
