,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-221.4239044189453,36.00068664550781,6.65345573425293,-0.6573246717453003,2.7643566131591797,21.640045166015625,-27.938961029052734,-19.867145538330078,-15.766870498657227,5.830855846405029,-7.609864234924316,-27.235183715820312,-12.538549423217773,3845.910860520088,7547.3876953125,0.04453640058636665,2995.0465189968672,0.13623046875
1.0,131.44869995117188,47.03643035888672,-54.030609130859375,3.286980152130127,-10.387994766235352,-6.300792694091797,-19.498207092285156,-3.821611166000366,-15.144750595092773,-7.84138298034668,-11.722929000854492,-3.669647693634033,-5.25314474105835,3133.1979763672016,5900.09765625,0.1221504807472229,2409.9160345763953,0.177734375
2.0,0.12905128300189972,42.37762451171875,-67.44001770019531,-22.71546173095703,-13.069509506225586,1.7198631763458252,-7.87448787689209,1.0575228929519653,-14.685409545898438,-1.7274971008300781,-21.351551055908203,-13.637075424194336,-14.482645034790039,2920.0026958182852,5878.564453125,0.04323706030845642,2448.1708755772947,0.15478515625
3.0,-27.589679718017578,43.305091857910156,-61.95581817626953,-11.859638214111328,-15.739076614379883,-5.048407554626465,-17.420928955078125,-20.136594772338867,-31.871713638305664,-8.304140090942383,-10.171363830566406,1.729401707649231,-2.540443181991577,3001.219608357419,5943.1640625,0.054303646087646484,2471.5177417504924,0.1591796875
4.0,-89.11398315429688,59.46753692626953,16.544437408447266,-7.533562660217285,-36.87890625,-12.615998268127441,-25.403301239013672,-8.091005325317383,-32.534908294677734,-17.90331268310547,-7.363996982574463,-5.404149055480957,15.061813354492188,3267.736488266605,7095.1904296875,0.05207206681370735,3048.802952323793,0.1640625
5.0,11.508267402648926,58.00702667236328,-7.529536247253418,41.77443313598633,11.107173919677734,7.283933639526367,-14.516363143920898,-2.6017987728118896,4.710992336273193,7.835491180419922,10.529558181762695,-0.5298975706100464,-1.2069035768508911,2677.025579547727,5620.166015625,0.021837320178747177,2646.1553100264478,0.10205078125
6.0,4.973845958709717,64.20045471191406,-69.19181823730469,-15.364480018615723,-1.1258397102355957,16.252073287963867,18.674522399902344,10.083703994750977,6.017511367797852,35.18484878540039,26.492578506469727,15.267210960388184,28.331764221191406,2441.1142033114193,4198.974609375,0.029965313151478767,2233.3199886452066,0.1396484375
7.0,-25.8640193939209,32.11968231201172,-103.00311279296875,-44.077125549316406,-26.710390090942383,3.6518397331237793,9.295658111572266,2.8324756622314453,-15.411466598510742,2.8307673931121826,-0.6988364458084106,0.45159706473350525,4.522618293762207,2660.7662639363143,4629.638671875,0.027117229998111725,2160.0058074780677,0.15185546875
8.0,40.13926696777344,82.89657592773438,-6.033312797546387,20.54718017578125,-0.6289963126182556,34.86116027832031,18.04791259765625,16.235248565673828,15.411323547363281,10.034610748291016,1.5362215042114258,-2.480496883392334,-6.108830451965332,2290.3675359291565,5318.701171875,0.022206291556358337,2594.147990445757,0.09912109375
9.0,-32.91164779663086,74.66813659667969,-18.60775375366211,36.422454833984375,35.990821838378906,38.39678955078125,4.094199180603027,-11.238834381103516,-2.2225899696350098,16.712064743041992,15.145944595336914,9.223421096801758,-1.27060067653656,2080.96377246609,4586.572265625,0.007604023441672325,2460.182693608147,0.05078125
