,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-144.95144653320312,87.38461303710938,1.802302360534668,9.757162094116211,18.00611686706543,-15.535329818725586,6.448456287384033,0.1310364007949829,10.642923355102539,25.36892318725586,20.276552200317383,7.530158996582031,-15.077990531921387,2548.8152023298076,6653.759765625,0.03287343308329582,3037.946280673053,0.0693359375
1.0,-86.90607452392578,72.14262390136719,-30.77696990966797,7.543878078460693,18.787052154541016,-42.74989700317383,-30.42287254333496,-0.9333070516586304,2.393678665161133,6.944455146789551,6.2835893630981445,-8.718589782714844,-8.747072219848633,2381.4239400038277,4155.908203125,0.008012772537767887,2594.9268608885186,0.08837890625
2.0,-92.01714324951172,1.8998980522155762,32.84296417236328,-20.363906860351562,3.091470241546631,-19.69978141784668,-39.726966857910156,-10.930346488952637,-6.763404369354248,2.3771467208862305,2.8663406372070312,0.8648388385772705,-16.30344009399414,6026.642660092743,9463.8427734375,0.1428670585155487,3333.895521460376,0.345703125
3.0,-66.06644439697266,21.72876739501953,-28.107315063476562,21.710710525512695,-0.5414671897888184,-51.382225036621094,-25.52684783935547,-6.803972244262695,-16.70627212524414,-10.730518341064453,5.388752460479736,-11.600658416748047,-21.07147979736328,3237.65881600474,6890.625,0.012574073858559132,2854.803630859552,0.12841796875
4.0,-106.40605926513672,88.82830810546875,-38.63641357421875,-8.88743782043457,4.65535831451416,-29.113075256347656,-32.512454986572266,-10.45764446258545,-29.63348388671875,7.253124237060547,-0.06882882118225098,-11.352118492126465,-20.988014221191406,1837.11898093437,3369.9462890625,0.002193339169025421,2193.9252657889188,0.0537109375
5.0,2.50590181350708,58.63776397705078,-79.61767578125,-28.856067657470703,-17.12041473388672,-21.620094299316406,-16.230207443237305,-1.4070179462432861,-30.08798599243164,-6.411992073059082,6.931769371032715,-14.35446548461914,-14.850120544433594,2391.6991672992635,3768.310546875,0.01235702820122242,2092.159693124891,0.10888671875
6.0,-14.236809730529785,36.930320739746094,-41.16511154174805,-22.62075424194336,-27.431861877441406,-10.725372314453125,-20.424915313720703,-9.891353607177734,-0.22497719526290894,-6.262082099914551,-5.093794345855713,-1.0625253915786743,-11.273197174072266,3516.1350775537558,6836.7919921875,0.12934748828411102,2760.825966885198,0.13232421875
7.0,43.66309356689453,49.21792221069336,-47.036930084228516,-21.421268463134766,-0.694454550743103,-9.981413841247559,-16.351760864257812,-14.675288200378418,-3.8368682861328125,-2.7462189197540283,-5.821316719055176,-0.7464108467102051,-11.075613021850586,3215.888596253088,7009.0576171875,0.09361990541219711,2830.016540944941,0.20703125
8.0,-16.088665008544922,85.05824279785156,-64.61074829101562,-38.03588104248047,-33.47638702392578,-13.993099212646484,-1.6975429058074951,-13.927343368530273,-29.23361587524414,-20.33392333984375,-16.0909481048584,-9.24322509765625,-3.69039249420166,2026.4925422446013,3488.37890625,0.006426215171813965,2109.0590159340113,0.1025390625
9.0,-109.10807800292969,110.06240844726562,-51.38008499145508,-9.350272178649902,-20.689756393432617,-13.578269958496094,-15.840370178222656,-6.721982479095459,-10.021611213684082,-12.856586456298828,-12.881668090820312,-15.36549186706543,-20.22557258605957,1809.5287549110922,3273.046875,0.006557026877999306,1929.4466212808873,0.0732421875
10.0,-140.79490661621094,124.70044708251953,-52.928436279296875,-0.7826299667358398,-14.845890045166016,-9.210626602172852,-24.139102935791016,-6.286624908447266,-8.560503005981445,-17.310176849365234,-7.805910110473633,-12.947019577026367,-17.542030334472656,1540.5040800513682,2670.1171875,0.0021209195256233215,1720.8177046289711,0.0625
