,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-46.284000396728516,38.964595794677734,13.4384765625,11.346729278564453,7.807372093200684,17.7869873046875,-8.213008880615234,15.286491394042969,-11.446115493774414,3.0921783447265625,4.738689422607422,14.0078125,-7.223758697509766,4048.537525324987,7795.01953125,0.1569225788116455,3129.3353900827074,0.1103515625
1.0,-144.20263671875,50.225765228271484,-22.01677894592285,30.867752075195312,6.671464443206787,-7.683709144592285,-3.0794572830200195,-13.649439811706543,-9.579255104064941,5.075987339019775,1.649219036102295,-0.31175923347473145,-24.16339874267578,2717.6714779888107,4984.9365234375,0.011405394412577152,2530.886910970528,0.1953125
2.0,-70.39088439941406,17.811872482299805,-4.928398132324219,31.733291625976562,5.316505432128906,-11.950969696044922,-25.814847946166992,-13.227409362792969,-25.234107971191406,-14.790334701538086,-28.416610717773438,-2.3294789791107178,-0.8530722856521606,3865.3471591809152,7558.154296875,0.11489591747522354,2909.6228550179953,0.31884765625
3.0,31.402910232543945,46.5726318359375,-13.902735710144043,46.58338165283203,16.133039474487305,0.8054828643798828,-9.940530776977539,1.996537446975708,-16.07798194885254,-11.506113052368164,-16.14818000793457,1.1880680322647095,0.8583787679672241,3093.359653098979,6255.3955078125,0.05978384241461754,2647.7530764115186,0.20556640625
4.0,1.0802892446517944,25.000722885131836,-14.018312454223633,41.76346206665039,17.5770320892334,-6.361818313598633,-29.176395416259766,0.3406846523284912,-2.425719738006592,11.005030632019043,-7.482920169830322,-1.9338974952697754,-10.868118286132812,3597.098742590616,7030.5908203125,0.07536756247282028,2683.102120073834,0.2255859375
5.0,-169.07125854492188,2.916222095489502,-4.382162570953369,-13.276702880859375,19.978618621826172,-16.83769989013672,-11.695955276489258,-21.020862579345703,-13.356752395629883,9.763904571533203,-5.872216701507568,-4.011743545532227,-10.369072914123535,5488.332132138687,9291.5771484375,0.15015259385108948,3444.3236763254677,0.470703125
6.0,-57.89362335205078,110.02947998046875,35.97412872314453,2.2927608489990234,-5.843677043914795,-2.2793195247650146,3.304321765899658,20.243404388427734,-19.223182678222656,0.8373655676841736,1.0290372371673584,-10.076486587524414,-6.712230682373047,2181.713931673316,6061.5966796875,0.019099073484539986,2847.0615550645393,0.08837890625
7.0,-14.726622581481934,131.10498046875,-25.04480743408203,9.689953804016113,8.829704284667969,23.441204071044922,30.809677124023438,20.442068099975586,4.647758960723877,10.12469482421875,16.294273376464844,18.00689697265625,-3.3342113494873047,1320.8004526509699,2562.451171875,0.0019231667974963784,1805.7366397022297,0.04833984375
8.0,-141.25747680664062,166.34564208984375,-9.284631729125977,49.731658935546875,22.621322631835938,-6.981306076049805,7.372645854949951,9.361480712890625,-5.017420768737793,-11.668753623962402,21.973966598510742,29.33649444580078,2.9749841690063477,1021.272287066444,2454.78515625,0.0005570677458308637,1506.45917254634,0.0546875
9.0,-139.188232421875,112.90940856933594,34.81098175048828,6.016819000244141,35.69123077392578,-17.27897834777832,13.7433443069458,4.321493148803711,-2.0921924114227295,3.099210500717163,-0.48244935274124146,13.019203186035156,-6.73187255859375,2496.515547856395,8193.3837890625,0.014195076189935207,3365.659389686726,0.0888671875
10.0,-31.110008239746094,90.17942810058594,42.62852096557617,18.99182891845703,32.43404006958008,-0.5010486841201782,8.288816452026367,15.269502639770508,14.335541725158691,13.65281867980957,12.5436372756958,14.329818725585938,4.277698516845703,2122.194266820481,7084.423828125,0.004032543394714594,3222.594899226627,0.06201171875
11.0,-157.70223999023438,132.12118530273438,2.471480131149292,80.17012023925781,27.564416885375977,3.539782762527466,21.390254974365234,-7.108712196350098,-6.913334846496582,-16.253921508789062,-12.101690292358398,16.83544158935547,18.092029571533203,1079.9655652329839,2842.3828125,0.000642032886389643,1695.9493563802691,0.052734375
12.0,-80.03993225097656,124.59587097167969,-38.377140045166016,51.192047119140625,25.64759635925293,-34.09642791748047,-0.4822939336299896,-1.117110252380371,-2.173356771469116,15.400376319885254,-11.118037223815918,13.44870376586914,26.271976470947266,1749.954813911012,3111.5478515625,0.003426759270951152,1729.1441742581726,0.1025390625
13.0,-117.66429901123047,26.218109130859375,-16.446487426757812,31.56093978881836,10.883489608764648,-24.834239959716797,-2.3230791091918945,23.958641052246094,-2.2584228515625,-8.552682876586914,1.1444106101989746,15.454887390136719,13.503839492797852,3505.2224484318103,6965.9912109375,0.0500028133392334,2752.9942450516482,0.2470703125
14.0,-201.07925415039062,53.58151626586914,-5.8093719482421875,0.2835468649864197,11.029108047485352,-13.193775177001953,-0.4442993700504303,-16.3392333984375,-15.428034782409668,-18.436738967895508,-15.715920448303223,-5.429510593414307,-0.017785578966140747,3581.432348046207,8591.748046875,0.07140655815601349,3347.5982501312315,0.27880859375
15.0,-299.0118713378906,92.4718246459961,-28.895160675048828,14.959877014160156,-3.2120754718780518,-3.752737522125244,7.059182167053223,-0.49857115745544434,-6.941185474395752,-17.871070861816406,-17.45880889892578,0.21184098720550537,11.12360668182373,2166.2883984615646,3875.9765625,0.015251010656356812,2166.468926673997,0.12158203125
16.0,101.1446533203125,53.72385025024414,26.381507873535156,15.815885543823242,-18.03506851196289,6.587111473083496,2.8316009044647217,19.997146606445312,12.894365310668945,2.9701828956604004,-8.869611740112305,3.161168098449707,8.060009002685547,3679.2430671011143,7579.6875,0.1318962723016739,3099.6653432289295,0.17138671875
17.0,-45.677894592285156,130.98797607421875,-5.249226093292236,8.856524467468262,13.715030670166016,20.34971046447754,15.456302642822266,4.144254684448242,0.9287571310997009,11.107992172241211,-5.065566062927246,13.07685661315918,7.680597305297852,1518.2362973159293,2939.2822265625,0.00469431234523654,2079.2542800915026,0.05615234375
18.0,-85.38858795166016,90.36408233642578,9.669798851013184,17.891990661621094,30.05803680419922,-5.230270862579346,10.160213470458984,-15.659245491027832,-5.209540367126465,19.848501205444336,2.398991107940674,4.459644317626953,-0.689171552658081,2474.778800181835,6524.560546875,0.018249820917844772,3006.9720796189868,0.07080078125
19.0,6.423666954040527,94.8998794555664,7.162047386169434,48.84032440185547,20.224285125732422,5.029708385467529,4.155445098876953,21.003875732421875,4.433815002441406,15.513155937194824,-3.391040802001953,9.035066604614258,10.864402770996094,1805.9534412947119,3951.3427734375,0.006003112066537142,2429.6237947997015,0.060546875
20.0,-46.31507110595703,98.73059844970703,-27.188350677490234,95.65894317626953,20.042888641357422,-35.04411697387695,1.360190987586975,9.236427307128906,8.805582046508789,6.741684913635254,-0.02669990062713623,20.530860900878906,9.405668258666992,2072.938493638448,3703.7109375,0.0043389578349888325,1815.7369519869214,0.10693359375
21.0,-172.8900604248047,121.37816619873047,-10.441551208496094,41.87193298339844,33.345237731933594,19.176334381103516,34.873966217041016,7.41013765335083,-5.548658847808838,3.883765459060669,-4.974639892578125,8.064279556274414,11.50728988647461,1181.7214433775835,2788.5498046875,0.0010343287140130997,1914.1873119404308,0.0478515625
22.0,-25.168684005737305,112.81697082519531,28.012813568115234,39.7191276550293,13.267803192138672,9.215039253234863,27.536678314208984,27.328800201416016,-5.074448585510254,-5.390925884246826,0.8424017429351807,10.847891807556152,6.184584617614746,1309.452776755694,3090.0146484375,0.001938253059051931,2264.0980903960403,0.0322265625
23.0,-145.4034423828125,122.59100341796875,68.5371322631836,49.06919479370117,7.112074851989746,-16.176103591918945,-2.4379491806030273,19.739177703857422,10.969535827636719,8.105941772460938,1.6705570220947266,7.786857604980469,15.360186576843262,1056.5897564371862,2196.38671875,0.00047305147745646536,2036.5613332774876,0.03564453125
24.0,-103.81853485107422,150.10659790039062,13.313024520874023,-8.514798164367676,25.60213279724121,33.234703063964844,11.70810604095459,-4.596747398376465,-11.361898422241211,6.649765491485596,-3.435666084289551,13.263473510742188,18.79950714111328,1240.0284476624893,1894.921875,0.001794495154172182,1955.612432091514,0.03857421875
25.0,6.383328437805176,36.286407470703125,-27.731901168823242,12.500968933105469,15.301216125488281,-14.528434753417969,-32.07760238647461,10.060447692871094,-0.7523696422576904,24.11455535888672,9.681453704833984,17.074010848999023,24.662416458129883,3389.437311245707,7095.1904296875,0.0781402513384819,2764.674898299116,0.17431640625
26.0,-310.1990051269531,103.85486602783203,-34.05791473388672,22.033161163330078,32.72460174560547,-14.518121719360352,-12.497652053833008,-12.82921028137207,-14.096784591674805,-1.0338737964630127,-5.627278804779053,-2.5188512802124023,9.603954315185547,1372.2738736375318,2670.1171875,0.0007338758441619575,1439.5783631872046,0.05322265625
27.0,-18.199331283569336,88.5346908569336,-56.93528747558594,25.597774505615234,26.91086196899414,-22.85161018371582,-26.883487701416016,-14.900665283203125,-39.730323791503906,5.898776531219482,-12.37186336517334,-11.820087432861328,9.695268630981445,2085.110754685031,3434.5458984375,0.005752112716436386,1926.0364549951253,0.08642578125
28.0,103.9767837524414,29.06504249572754,2.6536877155303955,25.597410202026367,2.6466898918151855,14.298175811767578,-12.002463340759277,-6.371775150299072,-12.423288345336914,-6.151576519012451,-5.507265090942383,-0.46300435066223145,-6.964261054992676,3989.603869931174,7644.287109375,0.15486447513103485,2984.679825599049,0.20654296875
29.0,-130.86119079589844,15.046599388122559,38.053916931152344,24.862838745117188,6.460655212402344,9.659622192382812,-4.627092361450195,-4.567289352416992,-17.62699317932129,8.463724136352539,-10.378612518310547,0.34140223264694214,-8.80942153930664,5046.131087464317,8667.1142578125,0.18454916775226593,3212.7391906264343,0.46728515625
30.0,-201.38719177246094,50.641841888427734,-22.39004898071289,1.621462106704712,12.217780113220215,-0.7805166840553284,7.287228584289551,1.5994206666946411,2.3958218097686768,21.27965545654297,-7.733349323272705,-0.5350883603096008,-1.6064525842666626,3577.004127443009,7913.4521484375,0.14417895674705505,3001.3778428634387,0.36767578125
31.0,-35.70723342895508,55.24365234375,27.607269287109375,-0.03212146461009979,0.9417746067047119,30.798038482666016,-3.7579803466796875,11.833066940307617,-7.29775857925415,3.2356276512145996,-8.358466148376465,9.05353832244873,1.8499972820281982,3965.726172772027,7784.2529296875,0.11572854965925217,3199.3345977204763,0.1708984375
32.0,-97.48747253417969,122.2258071899414,47.529388427734375,57.95793151855469,4.552460670471191,-31.972206115722656,-3.95676589012146,21.2744083404541,7.5284223556518555,10.685661315917969,4.710841655731201,4.497506141662598,-0.6757369041442871,1301.7116335819373,2874.6826171875,0.001287349034100771,2113.1967204413354,0.05078125
33.0,-129.6226043701172,124.5184326171875,2.4120311737060547,59.811378479003906,52.519996643066406,-15.275161743164062,-18.31995391845703,-0.408979594707489,8.37804126739502,26.351348876953125,-3.9552392959594727,-8.805429458618164,29.301708221435547,1333.468317425838,2411.71875,0.0009016384137794375,1874.3744928186327,0.0615234375
34.0,-44.300601959228516,140.12803649902344,10.417085647583008,37.330570220947266,7.769922256469727,10.47248649597168,5.2521257400512695,15.889087677001953,1.025468349456787,-0.299991250038147,-14.724817276000977,-0.2963934540748596,9.23184871673584,1221.8019510236509,2573.2177734375,0.0030565024353563786,1945.3947751072046,0.046875
35.0,-69.50316619873047,122.96165466308594,26.996063232421875,33.135887145996094,-9.284339904785156,-12.816986083984375,6.55560302734375,18.428985595703125,18.269060134887695,23.81026840209961,8.745149612426758,0.13741905987262726,14.81712818145752,1288.0689418640188,2863.916015625,0.0016896476736292243,2063.6307909059005,0.05322265625
