,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-207.33705139160156,-17.203651428222656,-35.799415588378906,35.426246643066406,-0.7112691402435303,7.093989372253418,-42.932037353515625,3.4636311531066895,-23.964733123779297,-3.609103202819824,-5.433786392211914,-8.94155216217041,-20.20672607421875,4430.728490824402,7138.2568359375,0.16341020166873932,2447.0015555348773,0.17431640625
1.0,-77.13411712646484,26.99300765991211,-51.464332580566406,27.554384231567383,-19.462051391601562,3.3459038734436035,-18.71346664428711,11.97465991973877,-18.32732391357422,-5.405796051025391,-18.3299560546875,-12.644652366638184,-24.813039779663086,3546.4907550041617,6169.2626953125,0.09692928194999695,2328.708299394011,0.27880859375
2.0,-159.07666015625,2.16987681388855,-46.6470832824707,56.574440002441406,5.128629684448242,-1.6652411222457886,-33.69070816040039,8.988771438598633,-13.474287033081055,-3.699821710586548,-22.916458129882812,4.112488746643066,-8.58122444152832,3612.1308071381454,6223.095703125,0.04602784290909767,2237.6266042196066,0.32470703125
3.0,-248.94500732421875,80.1163558959961,-24.880809783935547,17.623857498168945,-12.187010765075684,9.843334197998047,-5.098776817321777,23.667903900146484,-7.346924781799316,-1.836665391921997,-13.532407760620117,-6.066571235656738,11.29682731628418,2390.5290064593482,5394.0673828125,0.01329840812832117,2352.605617691561,0.21142578125
4.0,-323.68621826171875,45.6815071105957,-14.885069847106934,26.010486602783203,3.8951897621154785,-20.304821014404297,-12.94689655303955,27.635114669799805,-9.919694900512695,-8.742005348205566,-13.841754913330078,-28.3702392578125,-2.5128259658813477,3067.4379663535847,6761.42578125,0.004946854896843433,2954.7906242258964,0.0888671875
5.0,-78.27682495117188,55.654537200927734,-49.87969970703125,58.71037673950195,-1.2426214218139648,27.300769805908203,11.400062561035156,29.270126342773438,6.672374725341797,25.962732315063477,5.541271209716797,15.03290843963623,4.16648006439209,2587.2877135880617,4780.37109375,0.009213017299771309,2191.034485343456,0.072265625
6.0,-118.74028778076172,69.53610229492188,-45.968894958496094,30.935302734375,8.324310302734375,37.879722595214844,7.95849609375,22.78386688232422,-2.0632777214050293,28.31621742248535,0.07709062099456787,9.65316390991211,1.3169618844985962,2456.545032199875,4974.169921875,0.009541859850287437,2336.6404591969226,0.0693359375
7.0,-183.6744384765625,61.607357025146484,-27.568744659423828,48.77668762207031,-16.133140563964844,4.6095757484436035,27.543498992919922,41.737831115722656,3.1378345489501953,18.518783569335938,27.195716857910156,9.966028213500977,24.452957153320312,2607.3203855205547,5523.2666015625,0.003915099892765284,2396.8483483812074,0.04833984375
8.0,-157.5125274658203,7.168659687042236,-5.598222732543945,14.594437599182129,-23.91785430908203,3.3601748943328857,40.42190933227539,64.42098236083984,-4.647984027862549,40.7017822265625,18.134662628173828,20.896438598632812,7.8077392578125,4022.5149268117866,7730.419921875,0.025368165224790573,2994.860423674549,0.08935546875
9.0,-339.82305908203125,78.44084167480469,7.700263023376465,55.64849090576172,-1.204718828201294,0.8600896000862122,22.715988159179688,56.77060317993164,0.6230331659317017,19.64371109008789,23.58660316467285,-0.5352704524993896,20.00092315673828,1710.7190419577287,4166.6748046875,0.00048320888890884817,2402.78713080347,0.02880859375
10.0,-81.47484588623047,64.81977844238281,1.8757330179214478,54.25434112548828,16.072616577148438,37.21440887451172,3.3688230514526367,23.19031524658203,-1.3221838474273682,20.236713409423828,-10.583627700805664,19.013168334960938,3.5908353328704834,2347.117515727387,5749.365234375,0.007361377123743296,2698.321049388207,0.033203125
11.0,-211.82357788085938,49.955196380615234,-14.31765365600586,46.85763931274414,10.483824729919434,44.06242752075195,17.38189697265625,30.66774559020996,15.759248733520508,30.207733154296875,2.01206374168396,18.663135528564453,5.06005859375,2209.034624084359,5264.8681640625,0.0018419158877804875,2619.945980349288,0.03125
12.0,-90.81625366210938,14.789212226867676,-48.36346435546875,54.465065002441406,11.871414184570312,31.76708984375,9.598005294799805,39.53224182128906,9.975992202758789,28.570213317871094,5.701719760894775,15.73449420928955,0.5793086886405945,3319.6475589849993,6050.830078125,0.026853080838918686,2391.1771607315004,0.13671875
13.0,-177.22784423828125,16.19563102722168,-20.008068084716797,45.470054626464844,38.322811126708984,34.36229705810547,2.5825960636138916,26.96843719482422,-7.210036754608154,41.18065643310547,6.974008560180664,15.445789337158203,-0.7311127185821533,3457.6647582518635,7149.0234375,0.012746920809149742,2932.442299624045,0.078125
14.0,-289.9361267089844,41.06028747558594,33.22459030151367,50.40937042236328,46.59429168701172,24.78260040283203,-3.1798574924468994,32.217437744140625,6.948171615600586,28.42213249206543,-8.870781898498535,19.75210189819336,-1.0788397789001465,2753.468173983024,7644.287109375,0.00195894087664783,3334.395321735275,0.02001953125
15.0,-69.53041076660156,74.34339904785156,6.864235877990723,56.5673828125,30.437145233154297,28.415050506591797,5.844273567199707,13.438543319702148,-16.475830078125,29.148941040039062,-5.292116165161133,11.695718765258789,-11.80318832397461,2230.0600386832825,5684.765625,0.008584034629166126,2702.941581221614,0.0498046875
