,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-35.09090805053711,61.861907958984375,-34.1107177734375,12.693286895751953,-9.336133003234863,15.381414413452148,-9.202332496643066,22.290063858032227,-1.6126370429992676,10.832914352416992,-7.862486362457275,-2.1860666275024414,-9.528812408447266,3127.9757059003387,6233.8623046875,0.1267259418964386,2531.7194710805907,0.09375
1.0,1.1439875364303589,31.091440200805664,-11.732414245605469,3.134901523590088,-24.32911491394043,24.354869842529297,-2.466248035430908,7.481348037719727,-15.544257164001465,9.419570922851562,-19.248626708984375,5.198755264282227,-15.892276763916016,4300.344619594221,7719.6533203125,0.1951456069946289,2832.8562336111954,0.259765625
2.0,-2.1644973754882812,73.96018981933594,-40.931365966796875,9.453989028930664,-4.606909275054932,28.713672637939453,-9.80876350402832,6.1923723220825195,-21.81319808959961,0.5658136010169983,-14.928009033203125,-2.641248941421509,-18.053302764892578,2630.8064379812886,5717.0654296875,0.029924584552645683,2434.2008065992372,0.13916015625
3.0,-111.4699935913086,75.00240325927734,-63.12801742553711,30.938594818115234,-3.295238971710205,-12.937211036682129,-6.7436842918396,-10.546424865722656,-25.398311614990234,5.552315711975098,-20.10567283630371,-6.903199672698975,-8.857933044433594,2340.413783956993,3746.77734375,0.006081405095756054,1972.4380776998678,0.09375
4.0,-144.09120178222656,87.33094787597656,-35.675048828125,57.357383728027344,27.78420639038086,-40.55069351196289,-14.457914352416992,2.557302474975586,-18.150318145751953,3.0174779891967773,-41.887168884277344,-2.2308413982391357,-12.031996726989746,2153.6130245280006,3542.2119140625,0.004500942770391703,1970.6890988052069,0.076171875
5.0,-148.1327667236328,122.25395202636719,-51.135215759277344,35.267879486083984,46.85894775390625,-21.775287628173828,-14.101226806640625,-20.158138275146484,-25.23309326171875,7.378984451293945,-38.03993225097656,-9.001324653625488,-10.290960311889648,1678.3773118188606,3165.380859375,0.0018130603712052107,1736.8366404021565,0.08447265625
6.0,-122.00993347167969,113.47285461425781,-18.27071762084961,25.99062728881836,32.045448303222656,-26.06517791748047,-22.555124282836914,-14.391918182373047,-4.56291389465332,15.760576248168945,-24.817703247070312,5.143885612487793,-6.290229797363281,1929.18101555675,3520.6787109375,0.004836585372686386,2331.9920527080576,0.076171875
7.0,-35.9903450012207,139.2823028564453,3.130667209625244,41.98314666748047,9.980567932128906,17.306135177612305,5.4968390464782715,24.022695541381836,2.795427083969116,11.482725143432617,-4.247251987457275,12.4949951171875,5.418882369995117,1039.4873904103463,2379.4189453125,0.0007971823797561228,1809.318826192641,0.01904296875
8.0,-35.41571807861328,128.84649658203125,-13.058268547058105,47.52906799316406,19.76763153076172,22.455982208251953,-2.6606297492980957,3.0324013233184814,-5.214658260345459,15.659906387329102,3.198653221130371,12.635295867919922,-7.485921859741211,1301.8589352742308,2820.849609375,0.0011554257944226265,1898.2903869786521,0.033203125
9.0,-75.05425262451172,174.6015625,-7.919063568115234,41.054630279541016,-4.424088478088379,1.5105987787246704,17.908105850219727,10.703381538391113,5.482267379760742,-0.6017633676528931,-9.714500427246094,-3.1507887840270996,7.385130882263184,968.567365409745,1916.455078125,0.0005428876029327512,1471.095576048242,0.0478515625
