,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-114.6740951538086,87.46021270751953,29.37362289428711,35.345428466796875,10.510446548461914,4.696979522705078,-4.724260330200195,7.801231384277344,-13.283411979675293,3.0170063972473145,-9.559099197387695,-1.0572937726974487,-4.531624794006348,2351.871841874161,6233.8623046875,0.025847990065813065,2891.443219379517,0.04150390625
1.0,-88.51988983154297,65.38939666748047,54.81421661376953,3.0772836208343506,-10.135808944702148,9.686795234680176,-15.646993637084961,11.983675003051758,-19.14446258544922,-8.709612846374512,-24.950559616088867,-8.955026626586914,-18.867637634277344,3741.6809373347164,8139.55078125,0.02536797896027565,3457.2996293495935,0.1474609375
2.0,-74.30728149414062,32.51301193237305,40.53474426269531,0.8987158536911011,-26.416942596435547,4.334188938140869,-35.090782165527344,-2.533156633377075,-22.7423095703125,-9.834309577941895,-14.32615852355957,-4.064803600311279,-11.378555297851562,4816.040346601279,8419.482421875,0.10818042606115341,3166.3419213733105,0.28515625
3.0,-81.4847640991211,96.70436096191406,-22.60204315185547,7.240052700042725,-20.309940338134766,-33.123023986816406,-29.76769256591797,-8.283401489257812,-26.262367248535156,-2.6614632606506348,-22.847171783447266,8.648004531860352,-3.3071885108947754,2135.7868918354175,4069.775390625,0.01057008933275938,2341.313003829996,0.091796875
4.0,-102.43766784667969,80.69440460205078,-33.93876647949219,17.299991607666016,-9.1696138381958,-28.03447151184082,-36.26872253417969,-13.888040542602539,-25.89911651611328,-17.069198608398438,-22.476547241210938,3.746934413909912,-14.17385482788086,2325.329425771553,4295.8740234375,0.01491568237543106,2305.7634658237184,0.09521484375
5.0,-49.6143913269043,114.77997589111328,-41.22399139404297,-0.3150990605354309,-12.920160293579102,-3.670416831970215,-11.666305541992188,-16.496814727783203,-7.136227607727051,-6.529023170471191,-10.63944149017334,-2.2256009578704834,-13.75043773651123,2006.2377289730175,3768.310546875,0.016967229545116425,2117.303076033462,0.08984375
6.0,-121.3746566772461,103.11946868896484,-15.060995101928711,7.734066486358643,-8.891860961914062,-10.864839553833008,-24.696565628051758,-3.836926221847534,-12.854056358337402,11.470043182373047,-8.964393615722656,3.7504093647003174,-6.680254936218262,2175.7278059945675,4532.7392578125,0.01660393923521042,2424.0165460408543,0.13525390625
7.0,-145.01426696777344,-44.66197967529297,-3.7900538444519043,26.790603637695312,-45.595951080322266,6.481172561645508,-14.95878791809082,8.008382797241211,-10.91185188293457,-3.0081794261932373,-5.907238960266113,7.225545883178711,9.28226089477539,5207.577152338904,7601.220703125,0.09583406150341034,2260.3856862075654,0.44287109375
8.0,-82.99362182617188,65.81977844238281,17.99820899963379,51.61518478393555,-6.695527076721191,15.049755096435547,-10.9158296585083,20.786849975585938,-10.11324405670166,5.506413459777832,-13.551198959350586,5.506435871124268,6.428536415100098,3020.389442294624,6599.9267578125,0.03036985732614994,2818.541965815485,0.19287109375
9.0,-128.50804138183594,67.20613861083984,6.77619743347168,25.326732635498047,-10.051874160766602,6.946873664855957,-6.948930263519287,12.086857795715332,-23.622779846191406,7.509183883666992,-10.496895790100098,15.980682373046875,7.312315940856934,3223.578683424182,7127.490234375,0.04514477401971817,2909.0964703156455,0.13916015625
10.0,-225.24110412597656,79.64822387695312,-11.76947021484375,37.67653274536133,-10.855978012084961,12.231033325195312,-11.363638877868652,1.6222256422042847,-15.465462684631348,-12.883041381835938,-21.4788761138916,6.113237380981445,11.44068717956543,2484.9060063589804,5092.6025390625,0.0132704246789217,2273.9038823422884,0.11572265625
11.0,-94.4872817993164,104.29753112792969,47.221405029296875,39.17610549926758,-4.706128120422363,24.10198974609375,1.3937876224517822,28.30266571044922,-8.059045791625977,11.232168197631836,-12.24770450592041,2.2539548873901367,0.7331831455230713,1744.2657273497437,5340.234375,0.0032110747415572405,2625.2479037624407,0.0751953125
12.0,-75.97526550292969,104.46270751953125,-5.471263885498047,9.15014362335205,-1.8613078594207764,21.000415802001953,1.3677279949188232,25.436134338378906,-4.71238899230957,30.650711059570312,12.042333602905273,18.572084426879883,-4.672849655151367,1800.4085436451085,4446.6064453125,0.0018462566658854485,2472.6568170970977,0.02685546875
13.0,-97.75254821777344,125.64457702636719,-21.92230987548828,1.414373755455017,0.015308976173400879,6.053402900695801,2.187124729156494,23.378854751586914,-3.565838575363159,37.66389465332031,9.086088180541992,7.640775680541992,-8.520328521728516,1552.2441108598853,2906.982421875,0.0016541129443794489,2041.6177363246968,0.04248046875
14.0,-121.98184967041016,100.34904479980469,-17.271528244018555,22.43632698059082,3.7061915397644043,1.7200417518615723,-10.999253273010254,23.22931671142578,4.485129356384277,30.776180267333984,1.7986356019973755,7.692593097686768,0.7125805616378784,2000.3583898344336,3972.8759765625,0.0054360078647732735,2323.747260334421,0.06689453125
15.0,-139.81898498535156,95.35247802734375,18.729520797729492,42.34397888183594,6.777889251708984,-7.356432914733887,-14.829267501831055,15.153942108154297,-6.361607551574707,2.331225633621216,-13.196876525878906,2.577409029006958,-14.589664459228516,2177.679842360384,5415.6005859375,0.010773069225251675,2649.3654445199563,0.08544921875
16.0,-111.76530456542969,22.229366302490234,59.7878532409668,26.401325225830078,14.641345024108887,39.9117431640625,1.2767924070358276,32.50901412963867,5.6923112869262695,14.94739818572998,6.077965259552002,11.579503059387207,-0.49270161986351013,3951.1596993219136,8387.1826171875,0.0072506386786699295,3600.54653027443,0.08203125
